slug,title,last updated,pageviews,screenshots y/n,verdict
"first-30-minutes","Your first 30 minutes in Let’s Get Quoted","August 29, 2026","0","N","keep"
"navigate-the-dashboard","Navigate the dashboard efficiently","August 29, 2026","0","N","keep"
"understand-dashboard-priorities","Use the Dashboard as your daily command center","August 29, 2026","0","N","keep"
"business-profile-and-locations","Set up your business profile and locations","August 29, 2026","0","N","keep"
"roles-permissions-and-feature-readiness","Understand roles, permissions, plans, and prerequisites","August 29, 2026","0","N","keep"
"ai-contractor-copilot-and-companions","Use the AI Contractor Copilot and customize your companion","August 29, 2026","0","N","keep"
"manage-the-lead-inbox","Manage the lead Inbox, Board, and Table","August 29, 2026","0","N","keep"
"qualify-and-contact-a-lead","Qualify, prioritize, and contact a lead","August 29, 2026","0","N","rewrite-for-contractors"
"schedule-estimate-and-start-date-options","Schedule estimate visits and hold start dates","August 29, 2026","0","N","keep"
"build-and-send-a-quote","Build and send a professional quote","August 29, 2026","0","N","keep"
"understand-the-customer-approval-flow","Understand the customer approval flow","August 29, 2026","0","N","keep"
"manage-the-job-workspace","Manage the Job workspace and milestones","August 29, 2026","0","N","keep"
"schedule-work-from-the-queue","Schedule work from the queue and handle booking requests","August 29, 2026","0","N","keep"
"plan-a-day-and-dispatch-crew","Plan a day and dispatch crew","August 29, 2026","0","N","keep"
"document-work-and-change-orders","Document work, photos, and change orders","August 29, 2026","0","N","keep"
"manage-recurring-jobs","Manage recurring service jobs and maintenance contracts","August 29, 2026","0","N","keep"
"insurance-claims-and-restoration-packets","Manage insurance claims, adjuster evidence, and restoration packets","August 29, 2026","0","N","keep"
"manage-client-records","Manage client records, properties, and histories","August 29, 2026","0","N","keep"
"work-the-customer-text-inbox","Work the two-way customer text inbox","August 29, 2026","0","N","keep"
"set-up-business-texting","Set up business texting and carrier registration","August 29, 2026","0","N","keep"
"turn-on-the-customer-portal","Turn on and manage the customer portal","August 29, 2026","0","N","keep"
"set-up-your-own-text-alerts","Set up your own dispatch and lead text alerts","August 29, 2026","0","N","keep"
"manage-crew-and-field-access","Manage crew members and field access","August 29, 2026","0","N","keep"
"run-the-field-workflow","Run the daily field workflow and voice notes","August 29, 2026","0","N","keep"
"review-timecards-and-pay","Review timecards, approve pay, and export payroll","August 29, 2026","0","N","keep"
"manage-subcontractor-coverage","Manage subcontractor coverage and insurance compliance","August 29, 2026","0","N","keep"
"install-the-field-app-and-work-without-signal","Install the field app and work without mobile signal","August 29, 2026","0","N","keep"
"material-inventory-and-distributor-pricing","Manage truck inventory and live distributor material pricing","August 29, 2026","0","N","keep"
"connect-stripe-and-get-paid","Connect Stripe and understand payment costs","August 29, 2026","0","N","keep"
"create-and-send-an-invoice","Create and send professional invoices","August 29, 2026","0","N","keep"
"request-deposits-and-stage-payments","Request deposits, progress billing, and stage payments","August 29, 2026","0","N","keep"
"read-cash-flow-and-forecasts","Read cash flow projections and payment forecasts","August 29, 2026","0","N","keep"
"read-reports-and-profitability","Read revenue reports, job costing, and gross margins","August 29, 2026","0","N","keep"
"manage-refunds-and-payment-problems","Manage refunds, failed charges, and chargebacks","August 29, 2026","0","N","keep"
"manage-job-expenses-and-receipt-ocr","Track job expenses, receipts, and supply costs with AI OCR","August 29, 2026","0","N","keep"
"configure-automations-safely","Configure automations safely and responsibly","August 29, 2026","0","N","keep"
"configure-appointment-and-arrival-messages","Configure appointment reminders and arrival notices","August 29, 2026","0","N","keep"
"request-and-manage-reviews","Request and manage customer reviews","August 29, 2026","0","N","keep"
"run-rebooking-and-customer-follow-up","Run rebooking campaigns and seasonal follow-ups","August 29, 2026","0","N","keep"
"run-marketing-campaigns","Run targeted promotional campaigns","August 29, 2026","0","N","keep"
"customize-email-and-blog-content","Customize email templates and publish blog content","August 29, 2026","0","N","keep"
"manage-your-marketing-list-and-opt-outs","Manage your marketing list, opt-outs, and delivery limits","August 29, 2026","0","N","keep"
"build-and-publish-your-website","Build and publish your SEO contractor website","August 29, 2026","0","N","keep"
"configure-smart-intake","Configure Smart Intake and lead capture forms","August 29, 2026","0","N","keep"
"configure-online-booking","Configure online booking and service windows","August 29, 2026","0","N","keep"
"configure-quick-stops","Configure Quick Stops for minor repairs and diagnostic visits","August 29, 2026","0","N","keep"
"configure-ai-receptionist","Configure AI receptionist and call routing","August 29, 2026","0","N","keep"
"configure-text-to-job-and-field-intake","Configure Text-to-Job & hands-free field dictation","August 29, 2026","0","N","keep"
"voice-call-recordings-and-missed-call-sms","Review voice call recordings, transcripts, and missed-call SMS","August 29, 2026","0","N","keep"
"custom-forms-and-inspection-checklists","Build custom intake forms and field inspection checklists","August 29, 2026","0","N","keep"
"manage-office-access-and-security","Manage office access, sign-in, and account security","August 29, 2026","0","N","keep"
"manage-plan-usage-and-credits","Manage your plan, usage, credits, and capacity","August 29, 2026","0","N","keep"
"import-existing-business-data","Import existing business data, clients, and price books","August 29, 2026","0","N","keep"
"manage-your-price-book","Manage your price book and service catalog","August 29, 2026","0","N","keep"
"export-data-and-connect-apps","Export data and connect external business apps","August 29, 2026","0","N","keep"
"cancel-your-plan-or-delete-your-account","Cancel your plan or delete your account","August 29, 2026","0","N","keep"
"developer-api-and-webhooks","Connect custom tools with the Developer API and Webhooks","August 29, 2026","0","N","keep"
"restore-deleted-records-and-audit-logs","Restore deleted records from Trash and review audit logs","August 29, 2026","0","N","keep"
"find-help-and-contact-support","Find help, search documentation, and contact support","August 29, 2026","0","N","keep"
